id,common_name,scientific_name,date,time,count,longitude,latitude,location,observer,group_name,date_only
368960607,Small Dusty Wave,Idaea seriata,2025-08-17,00:09,1,4.9716758,52.3422884,Diemen - Centrum,Tijl de Bruijn,Moths,2025-08-17
368960491,Mother of Pearl,Pleuroptya ruralis,2025-08-17,00:11,1,4.8410225,52.468146599722225,Zaandam - Het Kalf,Ivo van Eldijk,Moths,2025-08-17
369018036,,Dasineura sisymbrii,2025-08-17,12:58,1,5.075199581114483,52.49729122457331,Volendam,Tanja Verbij,Flies,2025-08-17
369660321,Common Drone Fly,Eristalis tenax,2025-08-17,12:42,1,4.976383333333334,52.33736666666667,Diemen - De Sniep,Annemieke Hondius,Flies,2025-08-17
369540057,Unidentified Non-biting Midge,Chironomidae indet.,2025-08-17,16:05,1,4.864455,52.363605,Amsterdam - Oud-West,Leon,Flies,2025-08-17
369532857,,Nephrotoma crocata,2025-08-17,22:31,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Flies,2025-08-17
369532844,,Anthomyiidae indet.,2025-08-17,22:34,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Flies,2025-08-17
369532823,,Psectrotanypus varius,2025-08-17,22:35,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Flies,2025-08-17
369532813,,Gonomyia spec.,2025-08-17,22:37,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Flies,2025-08-17
369125916,Thistle Gall Fly,Urophora cardui,2025-08-17,13:39,1,4.906857,52.33322,Amsterdam - Volkstuincomplex Amstelglorie,Marian Barendtszen,Flies,2025-08-17
369147712,,Stratiomys singularior,2025-08-17,14:35,1,5.0238217,52.42029269972222,Waterland - Poppendammergouw,victor van pieterson,Flies,2025-08-17
369125645,,Beris morrisii,2025-08-17,13:29,1,4.906857,52.33322,Amsterdam - Volkstuincomplex Amstelglorie,Marian Barendtszen,Flies,2025-08-17
369294116,,Ectophasia crassipennis,2025-08-17,14:53,1,4.909454,52.33094,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Flies,2025-08-17
369293668,Unidentified Fruitfly,Drosophila spec.,2025-08-17,14:07,1,4.909851551055908,52.33085632324219,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Flies,2025-08-17
369293667,Common Compost Fly,Syritta pipiens,2025-08-17,14:08,1,4.909849643707275,52.33085632324219,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Flies,2025-08-17
369293662,,Minettia longipennis,2025-08-17,14:16,1,4.909667015075684,52.330902099609375,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Flies,2025-08-17
369277305,,Fannia spec.,2025-08-17,13:45,1,4.909835941702633,52.33153993111881,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369277283,,Sarcophaga spec.,2025-08-17,13:45,1,4.909835941702633,52.33153993111881,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369277233,,Terellia serratulae,2025-08-17,13:15,1,4.908993642007545,52.33187355668735,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369277229,,Stomorhina lunata,2025-08-17,13:15,1,4.908993642007545,52.33187355668735,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369277225,,Lonchoptera spec.,2025-08-17,13:15,1,4.908993642007545,52.33187355668735,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369277208,Common Drone Fly,Eristalis tenax,2025-08-17,13:15,1,4.908993642007545,52.33187355668735,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Flies,2025-08-17
369270747,,Liriomyza eupatorii,2025-08-17,13:07,1,4.909217357053421,52.33409218980138,Amsterdam - Volkstuincomplex Amstelglorie,Marian Barendtszen,Flies,2025-08-17
369224770,,Coenosia atra,2025-08-17,,1,4.908828735351562,52.33206763849165,Amsterdam - Volkstuincomplex Amstelglorie,Ellen van Donk,Flies,2025-08-17
369204741,,Ectophasia crassipennis,2025-08-17,,1,4.908828735351562,52.33193651387308,Amsterdam - Volkstuincomplex Amstelglorie,Ellen van Donk,Flies,2025-08-17
